n d
300 0.14840579710144927
1000 0.005957957957957958
200 0.0307035175879397
1000 0.00607007007007007
300 0.15054626532887402
300 0.14644370122630992
600 0.009994435169727324
1000 0.006018018018018018
600 0.010038953811908736
1000 0.00607007007007007
600 0.010061213132999444
300 0.1591304347826087
600 0.010105731775180857
300 0.14762541806020066
1000 0.006006006006006006
600 0.010094602114635504
200 0.029949748743718592
1000 0.006046046046046046
600 0.01010016694490818
300 0.14807134894091417
300 0.1400891861761427
1000 0.006054054054054054
300 0.1547603121516165
300 0.15241917502787067
300 0.1511036789297659
300 0.15226309921962095
600 0.010077907623817474
200 0.03
1000 0.0060500500500500504
300 0.1559866220735786
300 0.1457748049052397
200 0.030603015075376886
300 0.1355406911928651
1000 0.005993993993993994
200 0.030653266331658293
600 0.010072342793544797
200 0.030201005025125627
300 0.1426309921962096
300 0.14666666666666667
600 0.010044518642181413
200 0.030753768844221107
1000 0.006006006006006006
600 0.009994435169727324
200 0.029949748743718592
200 0.029748743718592964
300 0.14249721293199555
300 0.15364548494983277
1000 0.006014014014014014
1000 0.005975975975975976
600 0.010077907623817474
1000 0.006092092092092092
300 0.15068004459308806
300 0.14539576365663323
1000 0.006048048048048048
300 0.15462653288740244
200 0.030251256281407034
600 0.010089037284362827
300 0.13839464882943145
300 0.14347826086956522
200 0.03015075376884422
600 0.009966611018363939
300 0.14450390189520623
1000 0.006102102102102102
600 0.010077907623817474
1000 0.006036036036036036
1000 0.005983983983983984
300 0.14256410256410257
300 0.1481159420289855
200 0.03
300 0.1467335562987737
300 0.15168338907469342
600 0.01001669449081803
300 0.15068004459308806
200 0.030753768844221107
300 0.1593756967670011
300 0.1453288740245262
200 0.030351758793969848
300 0.14842809364548495
300 0.14633221850613154
300 0.1365886287625418
600 0.010111296605453533
600 0.010022259321090706
1000 0.005987987987987988
200 0.03055276381909548
300 0.13877369007803791
200 0.03
1000 0.005995995995995996
600 0.010044518642181413
200 0.029899497487437185
200 0.030351758793969848
300 0.13777034559643256
300 0.14706800445930882
600 0.009994435169727324
200 0.031005025125628142
600 0.00998330550918197
1000 0.006094094094094094
300 0.1421850613154961
300 0.15839464882943144
300 0.14546265328874025
200 0.030100502512562813
400 0.0975062656641604
400 0.09726817042606516
400 0.09764411027568923
400 0.09733082706766917
400 0.09786967418546366
400 0.09743107769423559
400 0.09784461152882205
400 0.09774436090225563
400 0.09776942355889724
400 0.09766917293233082
625 0.010635897435897436
625 0.010635897435897436
625 0.010635897435897436
625 0.01063076923076923
625 0.01063076923076923
625 0.010635897435897436
625 0.01063076923076923
625 0.010635897435897436
625 0.01063076923076923
625 0.01063076923076923
625 0.009353846153846154
625 0.00935897435897436
625 0.009348717948717949
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
625 0.009353846153846154
600 0.020178074568725654
600 0.020178074568725654
600 0.020255982192543126
600 0.02013355592654424
600 0.020116861435726212
600 0.020127991096271565
600 0.020155815247634948
600 0.020178074568725654
600 0.02015025041736227
600 0.02018363939899833
256 0.022150735294117648
256 0.022120098039215687
256 0.022150735294117648
256 0.022120098039215687
256 0.022150735294117648
256 0.022150735294117648
256 0.022150735294117648
256 0.022150735294117648
256 0.022120098039215687
256 0.022150735294117648
600 0.020172509738452978
600 0.020172509738452978
600 0.020194769059543684
600 0.020111296605453535
600 0.020139120756816918
600 0.02008347245409015
600 0.02020033388981636
600 0.020211463550361713
600 0.020161380077907624
600 0.02020033388981636
1296 0.004598646265312932
1296 0.004598646265312932
1296 0.004598646265312932
1296 0.004597454597454597
1296 0.004598646265312932
1296 0.004598646265312932
1296 0.004598646265312932
1296 0.004596262929596263
1296 0.004598646265312932
1296 0.004598646265312932
800 0.007503128911138923
800 0.007509386733416771
800 0.007503128911138923
800 0.007503128911138923
800 0.007509386733416771
800 0.007506257822277847
800 0.007503128911138923
800 0.0075
800 0.007506257822277847
800 0.007509386733416771
625 0.009353846153846154
625 0.00935897435897436
625 0.009353846153846154
625 0.009353846153846154
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
625 0.009353846153846154
625 0.009348717948717949
625 0.00935897435897436
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
1296 0.00429000429000429
200 0.022663316582914574
200 0.022512562814070353
200 0.02221105527638191
200 0.022462311557788946
200 0.022311557788944725
200 0.022110552763819097
200 0.022010050251256283
200 0.022613065326633167
200 0.022110552763819097
200 0.02236180904522613
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
400 0.015037593984962405
256 0.025214460784313726
256 0.025214460784313726
256 0.025153186274509805
256 0.025245098039215687
256 0.025245098039215687
256 0.025183823529411765
256 0.025245098039215687
256 0.025214460784313726
256 0.025245098039215687
256 0.025122549019607844
200 0.19045226130653267
200 0.18974874371859296
200 0.19135678391959798
200 0.19025125628140704
200 0.19035175879396984
200 0.1908040201005025
200 0.18939698492462312
200 0.1906532663316583
200 0.18944723618090453
200 0.18879396984924623
800 0.0037515644555694617
800 0.003748435544430538
800 0.003748435544430538
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037515644555694617
800 0.0037546933667083854
800 0.0037515644555694617
200 0.02236180904522613
200 0.02256281407035176
200 0.022160804020100504
200 0.02291457286432161
200 0.022311557788944725
200 0.02271356783919598
200 0.022261306532663318
200 0.02256281407035176
200 0.021959798994974876
200 0.022261306532663318
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.0037546933667083854
800 0.003748435544430538
800 0.0037515644555694617
800 0.0037546933667083854
200 0.09793969849246231
200 0.0978391959798995
200 0.09763819095477387
200 0.09778894472361808
200 0.09839195979899497
200 0.0978894472361809
200 0.09819095477386934
200 0.09723618090452261
200 0.09793969849246231
200 0.0978894472361809
400 0.0224937343358396
400 0.0225062656641604
400 0.022518796992481202
400 0.0224937343358396
400 0.0225062656641604
400 0.022531328320802006
400 0.0224937343358396
400 0.02245614035087719
400 0.02245614035087719
400 0.022518796992481202
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
200 0.04522613065326633
600 0.18975514746800223
600 0.19018363939899832
600 0.1899777406789093
600 0.19028380634390651
600 0.18996661101836393
600 0.18972175848636616
600 0.19022259321090706
600 0.19026711185308848
600 0.19015581524763495
600 0.19
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
200 0.03015075376884422
1296 0.004598646265312932
1296 0.004597454597454597
1296 0.004596262929596263
1296 0.004598646265312932
1296 0.004598646265312932
1296 0.004597454597454597
1296 0.004598646265312932
1296 0.004598646265312932
1296 0.004597454597454597
1296 0.004598646265312932
800 0.011248435544430538
800 0.011251564455569461
800 0.011257822277847308
800 0.011239048811013768
800 0.01124217772215269
800 0.011257822277847308
800 0.011248435544430538
800 0.011248435544430538
800 0.011264080100125156
800 0.011248435544430538
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
200 0.01507537688442211
600 0.09755703951029493
600 0.09765164162493044
600 0.09750695603784085
600 0.09760712298274903
600 0.09754590984974958
600 0.09774624373956595
600 0.0974457429048414
600 0.09761825264329438
600 0.09775180856983862
600 0.09750139120756816
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.022556390977443608
400 0.015012531328320802
400 0.015012531328320802
400 0.014987468671679199
400 0.015025062656641604
400 0.015037593984962405
400 0.015037593984962405
400 0.014987468671679199
400 0.015037593984962405
400 0.015012531328320802
400 0.015012531328320802
625 0.00935897435897436
625 0.009353846153846154
625 0.00935897435897436
625 0.009353846153846154
625 0.009353846153846154
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
625 0.00935897435897436
200 0.09753768844221106
200 0.09753768844221106
200 0.09793969849246231
200 0.09819095477386934
200 0.09733668341708543
200 0.09814070351758794
200 0.0971859296482412
200 0.09763819095477387
200 0.09738693467336683
200 0.09778894472361808
400 0.007506265664160401
400 0.007518796992481203
400 0.007506265664160401
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
400 0.007518796992481203
600 0.19005008347245408
600 0.19008347245409016
600 0.18998887033945464
600 0.19012799109627157
600 0.18969393433500278
600 0.19025041736227044
600 0.1898386199220924
600 0.1896661101836394
600 0.19
600 0.19037284362826934
256 0.025214460784313726
256 0.025275735294117647
256 0.025183823529411765
256 0.025245098039215687
256 0.025091911764705883
256 0.025275735294117647
256 0.025245098039215687
256 0.025275735294117647
256 0.025214460784313726
256 0.025245098039215687
400 0.007518796992481203
400 0.007518796992481203
